34, 34, 3, 3, 3, 128, 0, 1, 16, 1, 4, 6
34, 34, 64, 3, 3, 512, 0, 1, 16, 1, 4, 6
34, 34, 128, 3, 3, 128, 0, 1, 16, 1, 5, 6
34, 34, 64, 3, 3, 512, 0, 1, 16, 1, 5, 6
18, 18, 128, 3, 3, 256, 0, 1, 4, 1, 4, 6
18, 18, 64, 3, 3, 512, 0, 1, 4, 1, 4, 6
18, 18, 256, 3, 3, 64, 0, 1, 4, 1, 4, 6
18, 18, 64, 3, 3, 512, 0, 1, 4, 1, 4, 6
10, 10, 64, 3, 3, 64, 0, 1, 8, 1, 4, 6
10, 10, 64, 3, 3, 512, 0, 1, 8, 1, 4, 6
10, 10, 64, 3, 3, 256, 0, 1, 2, 1, 4, 6
10, 10, 64, 3, 3, 512, 0, 1, 2, 1, 4, 6
10, 10, 256, 3, 3, 512, 0, 1, 4, 2, 4, 5
10, 10, 64, 3, 3, 512, 0, 1, 4, 2, 4, 5
8, 8, 512, 3, 3, 64, 0, 1, 16, 1, 4, 5
6, 6, 64, 3, 3, 512, 0, 1, 16, 1, 4, 5
8, 8, 64, 3, 3, 256, 0, 1, 4, 2, 4, 5
6, 6, 64, 3, 3, 512, 0, 1, 4, 2, 4, 5
8, 8, 256, 3, 3, 512, 0, 1, 32, 1, 4, 5
6, 6, 64, 3, 3, 512, 0, 1, 32, 1, 4, 5
8, 8, 512, 3, 3, 512, 0, 1, 2, 2, 4, 5
4, 4, 64, 3, 3, 512, 0, 1, 2, 2, 4, 5
8, 8, 512, 3, 3, 128, 0, 1, 32, 2, 4, 5
4, 4, 64, 3, 3, 512, 0, 1, 32, 2, 4, 5
8, 8, 128, 3, 3, 128, 0, 1, 16, 2, 4, 5
4, 4, 64, 3, 3, 512, 0, 1, 16, 2, 4, 5